Breakout,Age,Pos_Group,Bats,Throws,Height,Weight,Country,Class_Type,Prospect_Grouping,Prev_Season_WAR,Season_High_WAR,MLB_Certainty,MLB_BB,MLB_K,MLB_AVG,MLB_ISO,MLB_Spd,MLB_wRC,MiLB_Certainty,MiLB_BB,MiLB_K,MiLB_AVG,MiLB_ISO,MiLB_Spd,MiLB_wRC
0,26,Corner Infielder,R,R,75,225,USA,D1 College,Unranked Prospect,1,1,Fewer than 500 MLB PA,0.042,0.252,0.295,0.163,4,109,1500-1999 MiLB PA,0.051,0.174,0.277,0.152,4.1,96
0,26,Corner Infielder,R,R,74,215,USA,Big D1 College,Top 25 Prospect,-0.7,0.2,500-999 MLB PA,0.093,0.191,0.232,0.156,3,89,1000-1499 MiLB PA,0.107,0.165,0.296,0.267,3,156
0,24,Corner Infielder,L,R,75,250,DR,Big D1 College,Top 10 Prospect,1.5,1.5,Fewer than 500 MLB PA,0.096,0.308,0.256,0.205,1.7,114,500-999 MiLB PA,0.126,0.24,0.284,0.25,4.1,146
0,23,Corner Outfielder,L,L,72,230,USA,High School,Top 10 Prospect,1.2,1.2,500-999 MLB PA,0.081,0.267,0.255,0.191,3.4,102,1500-1999 MiLB PA,0.106,0.249,0.302,0.227,4.1,146
0,26,Middle Infielder,B,R,72,190,USA,D1 College,Unranked Prospect,0,0.8,Fewer than 500 MLB PA,0.074,0.118,0.264,0.038,5.3,71,1000-1499 MiLB PA,0.069,0.101,0.283,0.054,7.4,87
0,25,Outfielder,L,L,72,195,USA,Big D1 College,Unranked Prospect,1.2,1.2,500-999 MLB PA,0.053,0.134,0.286,0.074,6.3,80,1000-1499 MiLB PA,0.06,0.097,0.31,0.091,6.9,104
0,34,Corner Outfielder,L,R,72,200,JAP,International Professional,Top 50 Prospect,1.2,2.4,1500-1999 MLB PA,0.147,0.174,0.259,0.151,4.2,105,Fewer than 500 MiLB PA,,,,,,
1,25,Catcher,B,R,77,235,USA,Big D1 College,Top 10 Prospect,3.1,3.1,500-999 MLB PA,0.085,0.203,0.266,0.126,1.3,89,500-999 MiLB PA,0.147,0.153,0.343,0.234,3.3,173
0,26,Infielder,L,R,73,223,USA,D1 College,Unranked Prospect,0.8,0.8,500-999 MLB PA,0.079,0.137,0.275,0.161,4.2,102,1000-1499 MiLB PA,0.086,0.105,0.295,0.157,4.3,120
0,21,Middle Infielder,R,R,74,218,DR,International Amateur,Top 25 Prospect,1.8,1.8,500-999 MLB PA,0.057,0.14,0.3,0.108,4.7,99,1000-1499 MiLB PA,0.068,0.11,0.31,0.112,7.1,122
0,21,Corner Outfielder,L,L,77,240,USA,High School,Top 10 Prospect,4.6,4.6,500-999 MLB PA,0.146,0.205,0.277,0.179,5,134,1000-1499 MiLB PA,0.105,0.138,0.318,0.189,6.3,149
0,21,Corner Outfielder,R,R,78,245,USA,High School,Top 10 Prospect,2.6,2.6,Fewer than 500 MLB PA,0.086,0.311,0.259,0.248,3.5,118,1000-1499 MiLB PA,0.118,0.266,0.274,0.295,4.3,156
0,29,Middle Infielder,R,R,74,180,CUB,International Professional,Unranked Prospect,4.2,4.2,1500-1999 MLB PA,0.054,0.12,0.283,0.147,4.3,94,Fewer than 500 MiLB PA,,,,,,
1,27,Corner Outfielder,L,R,73,220,USA,Big D1 College,Top 10 Prospect,-0.6,2.6,1500-1999 MLB PA,0.099,0.22,0.244,0.161,4.4,93,1000-1499 MiLB PA,0.146,0.199,0.321,0.257,6,166
0,23,Corner Outfielder,R,R,73,215,USA,High School,Top 10 Prospect,2.5,4.9,1500-1999 MLB PA,0.106,0.259,0.272,0.199,5.8,111,1000-1499 MiLB PA,0.112,0.197,0.288,0.193,5.9,134
1,24,Outfielder,R,R,75,215,USA,High School,Top 10 Prospect,0.4,1,500-999 MLB PA,0.077,0.282,0.246,0.133,7.1,84,1500-1999 MiLB PA,0.119,0.231,0.306,0.172,7.3,139
0,26,Outfielder,L,L,71,200,USA,Big D1 College,Unranked Prospect,1.1,1.1,Fewer than 500 MLB PA,0.074,0.155,0.3,0.122,4.1,116,1500-1999 MiLB PA,0.079,0.121,0.301,0.132,5.8,115
0,25,Outfielder,L,L,75,210,USA,Big D1 College,Top 100 Prospect,1.8,1.8,Fewer than 500 MLB PA,0.077,0.253,0.251,0.235,6.5,108,1500-1999 MiLB PA,0.056,0.182,0.277,0.188,6.9,113
0,26,Corner Infielder,R,R,74,210,USA,Big D1 College,Unranked Prospect,2.1,2.1,Fewer than 500 MLB PA,0.062,0.143,0.311,0.137,3.2,117,2000 or more MiLB PA,0.078,0.179,0.298,0.17,3.5,126
0,26,Utility,L,R,72,195,USA,Big D1 College,Unranked Prospect,0.9,2.7,500-999 MLB PA,0.089,0.167,0.299,0.129,5.8,113,1000-1499 MiLB PA,0.118,0.113,0.298,0.153,7,131
1,24,Catcher,L,R,71,228,USA,Big D1 College,Unranked Prospect,-0.1,0.6,Fewer than 500 MLB PA,0.114,0.22,0.237,0.146,1.7,93,500-999 MiLB PA,0.125,0.187,0.28,0.144,2.4,126
